DATAOUT, 'database', 'ranks', 'pub size', 'delay', 'total size', 'count', 'min latency', 'mean latency', 'max latency', 'variance latency'
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 256, 100000, 15360, 15360, 0.00276398658752441, 0.00441023920041819, 0.00929403305053711, 1.38810305276121e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 256, 100000, 15360, 15360, 0.00149297714233398, 0.00223914375528693, 0.00562310218811035, 2.34142602692311e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 256, 10000, 153600, 153600, 0.00191593170166016, 0.00318905616489549, 0.00895214080810547, 9.17771139838624e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 256, 10000, 153600, 153600, 0.00142383575439453, 0.00211907230472813, 0.00351190567016602, 9.67494665438875e-08
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 320, 1000000, 1920, 1920, 0.00352883338928223, 0.00776951896647612, 0.0187039375305176, 2.51279558371934e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 320, 1000000, 1920, 1920, 0.00185608863830566, 0.00361195181806882, 0.00626301765441895, 2.06843039284673e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 320, 100000, 19200, 19200, 0.00337696075439453, 0.00548433091491461, 0.00877714157104492, 1.57870805668227e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 320, 100000, 19200, 19200, 0.0017859935760498, 0.0026392924785614, 0.0061800479888916, 2.74629011121875e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 320, 10000, 192000, 192000, 0.00231194496154785, 0.00363152746111155, 0.00874805450439453, 1.08466976245904e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 320, 10000, 192000, 192000, 0.0016930103302002, 0.0025310904632012, 0.00426602363586426, 1.48342026326003e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 384, 1000000, 2304, 2304, 0.00410318374633789, 0.00882897505329715, 0.0205700397491455, 2.63534335130407e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 384, 1000000, 2304, 2304, 0.00217103958129883, 0.0041226109282838, 0.00730204582214355, 2.62888434017654e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 384, 100000, 23040, 23040, 0.0029761791229248, 0.00638738391507003, 0.00924801826477051, 2.21609270594276e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 384, 100000, 23040, 23040, 0.00209593772888184, 0.00306357019063499, 0.00688314437866211, 3.44917625581862e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 384, 10000, 230400, 230400, 0.00270581245422363, 0.00425992849593361, 0.0194430351257324, 1.86341914805996e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 384, 10000, 230400, 230400, 0.00200295448303223, 0.00298700114091237, 0.0186581611633301, 6.63463961964258e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 448, 1000000, 2688, 2688, 0.00469112396240234, 0.0102761433947654, 0.0184721946716309, 1.44616189133278e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 448, 1000000, 2688, 2688, 0.00241780281066895, 0.00457965822092124, 0.00814604759216309, 2.95330477158843e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 448, 100000, 26880, 26880, 0.00335216522216797, 0.00547327792183274, 0.00995182991027832, 6.40783023787088e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 448, 100000, 26880, 26880, 0.00241398811340332, 0.00352225450000593, 0.00756287574768066, 4.21855666583672e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 448, 10000, 268800, 268800, 0.00311589241027832, 0.00487358655691856, 0.011620044708252, 2.0030343280942e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 448, 10000, 268800, 268800, 0.00229096412658691, 0.00336642042511985, 0.0117049217224121, 3.52594936977904e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 512, 1000000, 3072, 3072, 0.00533390045166016, 0.0107960592334469, 0.0271599292755127, 5.0048857570534e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 512, 1000000, 3072, 3072, 0.00271010398864746, 0.00512695622940858, 0.00937891006469727, 3.67865015366901e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 512, 100000, 30720, 30720, 0.00372505187988281, 0.00525184549236049, 0.0108020305633545, 9.16878747041343e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 512, 100000, 30720, 30720, 0.00271797180175781, 0.00400015070723991, 0.00812411308288574, 5.08060544448679e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 1, 512, 10000, 307200, 307200, 0.00303387641906738, 0.0052447575959377, 0.0124640464782715, 2.23515395035291e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 1, 512, 10000, 307200, 307200, 0.00208210945129395, 0.00366055221064016, 0.0126681327819824, 4.54854404458161e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 1, 1000000, 6, 12, 0.00026392936706543, 0.0043607751528422, 0.0235681533813477, 7.32365704385371e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 1, 1000000, 6, 12, 0.000349044799804687, 0.00180759032567342, 0.00851297378540039, 8.74639584422552e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 1, 100000, 60, 120, 0.000500917434692383, 0.00106041630109151, 0.0153570175170898, 2.3116418545478e-06
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 1, 100000, 60, 120, 0.00044703483581543, 0.000839904944101969, 0.00839018821716309, 6.71516592834425e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 1, 10000, 600, 1200, 0.000165939331054687, 0.00053179661432902, 0.0151519775390625, 3.25120364439929e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 1, 10000, 600, 1200, 0.000288963317871094, 0.000376315911610921, 0.00850200653076172, 6.62880369222621e-08
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 64, 1000000, 384, 768, 0.00200700759887695, 0.00566303698966901, 0.0188910961151123, 3.42396581696212e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 64, 1000000, 384, 768, 0.00126290321350098, 0.00315365257362525, 0.0105860233306885, 1.05548453961005e-05
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 64, 100000, 3840, 7680, 0.000713109970092773, 0.00151477375378211, 0.00909519195556641, 9.07023343120475e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 64, 100000, 3840, 7680, 0.000587224960327148, 0.000948537358393272, 0.00401902198791504, 9.31874713822044e-08
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00000.db, 2, 64, 10000, 38400, 76800, 0.000631093978881836, 0.000929021813596288, 0.00890111923217773, 1.34412303491417e-07
DATAOUT, /home/khuck/src/sos_flow_experiments/parameter_sweep/sosd.00001.db, 2, 64, 10000, 38400, 76800, 0.000631093978881836, 0.000946849081665277, 0.00272393226623535, 2.55129349018696e-08
